"taxon_1","taxon_2","onenet_score"
"Leaf126","Leaf86",0.155555555555556
"Leaf126","Leaf87",0.0333333333333333
"Leaf126","Leaf88",0.0111111111111111
"Leaf126","Leaf90",0.05
"Leaf126","Leaf91",0.35
"Leaf126","Leaf99",0.0388888888888889
"Leaf127","Leaf129",0.311111111111111
"Leaf127","Leaf13",0
"Leaf127","Leaf130",0.0444444444444444
"Leaf127","Leaf131",0.0111111111111111
"Leaf127","Leaf132",0.0666666666666667
"Leaf127","Leaf137",0.0722222222222222
"Leaf127","Leaf141",0.0111111111111111
"Leaf127","Leaf145",0.0444444444444444
"Leaf127","Leaf15",0.0222222222222222
"Leaf127","Leaf151",0.0222222222222222
"Leaf127","Leaf160",0.0111111111111111
"Leaf127","Leaf161",0.0444444444444444
"Leaf127","Leaf164",0.322222222222222
"Leaf127","Leaf168",0.0166666666666667
"Leaf127","Leaf17",0.0444444444444444
"Leaf127","Leaf176",0.1
"Leaf127","Leaf177",0.0444444444444444
"Leaf127","Leaf180",0.0888888888888889
"Leaf127","Leaf182",0.105555555555556
"Leaf127","Leaf183",0.0111111111111111
"Leaf127","Leaf185",0.111111111111111
"Leaf127","Leaf187",0.177777777777778
"Leaf127","Leaf189",0.0388888888888889
"Leaf127","Leaf2",0.0166666666666667
"Leaf127","Leaf201",0.0222222222222222
"Leaf127","Leaf203",0.0277777777777778
"Leaf127","Leaf208",0.0111111111111111
"Leaf127","Leaf21",0.0666666666666667
"Leaf127","Leaf216",0.0833333333333333
"Leaf127","Leaf220",0.277777777777778
"Leaf127","Leaf222",0.0111111111111111
"Leaf127","Leaf225",0.216666666666667
"Leaf127","Leaf226",0.0111111111111111
"Leaf127","Leaf231",0.0666666666666667
"Leaf127","Leaf233",0.111111111111111
"Leaf127","Leaf234",0.0944444444444444
